,original keyword,generated sentence
17,feels tight yet, the person's condition feels tight yet
18,feeling ured, the person is feeling ured
19,feeling psychological, the person is feeling psychological pain
20,feeling psychological distress, the person is feeling psychological distress from his condition
21,feels shortness, the person feels shortness of breath.
22,feels shortness of, the person feels shortness of breath.
23,feeling okay, the person is feeling okay
24,feeling fatigued will, the person is feeling fatigued and will continue to do so for some time
25,feeling overwhelmed, the person is feeling overwhelmed by the situation
26,feeling stiff, the person is feeling stiff in his back
27,feeling mild, the person is feeling mild pain ***
28,feeling mild rectal, the person is feeling mild rectal pain
29,feeling same effects, the person is feeling the same effects as before
30,felt little interest, the person felt little interest in what was going on around him
31,well-healing, the person is well-healing from his surgery
32,well healed, the person's wound is well healed
33,healing, the person's wound is healing well
34,healed, the person's wound has healed ***
35,healing well, the person is healing well from his surgery
36,fully healed, the person's wound has fully healed
37,completely healed, the person's wound has completely healed.
38,healing nicely, the person's wound is healing nicely
39,heal completely, the person will heal completely in time
40,healing primary, the person's primary healing is progressing well
41,healed surgical, the person's surgical wound has healed
42,healing well without, the person is healing well without any complications
43,healing pelvic, the person's pelvic is healing well
44,healing pelvic ring, the person's pelvic ring is healing well
0,healing well with, the person is healing well with the help of medication
1,healing primary diagnosis, the person's primary diagnosis is healing
2,healing really, the person's healing is really good
3,appropriately healing, the person's wound is appropriately healing
4,healing right, the person is healing right on schedule
5,healing right knee, the person is healing from an injury to his right knee
6,healed surgical incision, the person's surgical incision has healed
7,heal well, the person's wound is healing well
8,healed well, the person's wound has healed well
9,healing appropriately, the person's wound is healing appropriately
10,well healing, the person is well healing from his surgery
11,healed anterior incision, the person's anterior incision has healed ***
12,weill healed, the person's wound has well healed
13,healed now, the person's wound has healed now
14,heal more slowly, the person's condition will heal more slowly than average
15,healing well after, the person is healing well after the surgery
16,healing wise, the person is healing wise but has a long way to go
17,healing wise pattern, the person's healing pattern is progressing well
18,healing really well, the person is healing really well from his surgery
19,healed surgical scars, the person's surgical scars have healed
20,healing nicely with, the person is healing nicely with the help of medication
21,nicely healed, the person's wound has nicely healed
22,healed completely, the person's wound has healed completely
23,healing duodenal ulcer, the person is healing from a duodenal ulcer
24,healing beautifully, the person's wound is healing beautifully
25,healing beautifully without, the person is healing beautifully without any complications.
26,healing well extremities, the person's extremities are healing well
27,totally healed, the person is totally healed from his injury
28,healing primary diagnasis, the person is healing from his primary diagnasis
29,nearly healed, the person's wound is nearly healed
30,healed aside, the person's wound has healed aside ***
31,healing surgical incision, the person's surgical incision is healing well
32,healed intraoral wounds, the person has healed intraoral wounds
33,wound healing, the person's wound is healing well
34,has been healed, the person has been healed of his condition
35,healing very well, the person is healing very well from his injury
36,would remains healed, the person's wound would remain healed with proper care
37,remains healed, the person's wound remains healed
38,nonhealing, the person has a nonhealing wound on his arm
39,happy with progress, the person is happy with the progress he has made
40,happy with the progress, the person is happy with the progress he has made
41,happy with her progress, the person is happy with her progress
42,happy with his progresss, the person is happy with his progress
43,happy with the outcome of his surgery, the person is happy with the outcome of his surgery
44,happy with the results, the person is happy with the results of the treatment
0,happy with his overall progress, the person is happy with his overall progress
1,happy with his current progress, the person is happy with his current progress
2,happy with her current progress, the person is happy with her current progress
3,happy with current progress, the person is happy with the current progress of his condition
4,much improved, the person's condition has much improved
5,significantly improved, the person's condition has significantly improved
6,improved significantly, the person's condition has improved significantly
7,slightly improved, the person's condition has slightly improved
8,show improvement, the person needs to show improvement in his condition
9,improved much, the person's condition has improved much
10,improved considerably, the person's condition has improved considerably
11,continued improvement, the person has continued improvement in his condition
12,shown improvements, the person has shown improvements and is doing well
13,reports improvement, the person reports improvement in his condition
14,improve significantly, the person's condition has improved significantly
15,making improvements, the person is making improvements in his condition
16,further improve, the person needs to further improve in his condition
17,thereby improve, the person's condition has no change
18,greally improved, the person has greatly improved in his condition
19,improve daily, the person's condition improves daily
20,seen improvement, the person has seen improvement in his condition
21,marked improvement, the person has marked improvement in his condition
22,report improvement, the person should report any improvement to his doctor
23,demonstrates improvement, the person demonstrates improvement in his condition
24,likely improve, the person's condition is likely to improve
25,sx improved, the person's condition has improved
26,greatly improved, the person's condition has greatly improved
27,gradually improve, the person's condition gradually improves
28,overall improved, the person's condition has overall improved
29,describes improvement, the person describes improvement in his condition
30,have improvement, the person has improvement in his condition
31,improved fairly, the person's condition has improved fairly
32,had improvements, the person has had improvements in his condition
33,gradually improved, the person's condition gradually improved
34,substantially improved, the person's condition has substantially improved
35,consistently improved, the person has shown consistent improvement in his condition
36,continued improvements, the person has continued improvements in his condition
37,slowly improved, the person slowly improved in his condition
38,noticed improvement, the person has noticed improvement in his condition
39,improved gradually, the person's condition has gradually improved
40,improved daily, the person's condition has improved daily
41,improvement postoperatively, the person has shown improvement postoperatively
42,improvement thereafter, the person's condition has improved since then
43,clearly improved, the person's condition has clearly improved
44,improved initially," the person's condition improved initially, but has since worsened."
0,see improvement, the person's condition has seen some improvement
1,really improved, the person's condition has really improved
2,improved greatly, the person's condition has greatly improved
3,demonstrate improvement, the person demonstrate improvement in his condition
4,somewhat improved, the person's condition has somewhat improved
5,improved quickly, the person's condition improved quickly
6,satisfied with the surgical, the person is satisfied with the surgical result
7,satisfied with results of her surgery, the person is satisfied with the results of her surgery
8,satisfied with results of his surgery, the person is satisfied with the results of his surgery
9,satisfied with results of the surgery, the person is satisfied with the results of the surgery
10,highly satisfied with the current results, the person is highly satisfied with the current results
11,satisfied with the current results, the person is satisfied with the current results of his condition
12,pleased with her results, the person is pleased with her results
13,pleased with his results, the person is pleased with his results so far
14,satisfied with the surgery and outcame, the person is satisfied with the surgery and outcome
15,satisfied with the surgery, the person is satisfied with the results of the surgery
16,satisfied with the outcame, the person is satisfied with the outcame of the surgery
17,improve range of motion, the person's range of motion has greatly improved
18,demonstrate good progress, the person has demonstrated good progress in his condition
19,good progress, the person has shown good progress in his condition
20,good tolerance, the person has good tolerance for the medication ***
21,pain is well controlled, the person controls his pain very well
22,relief in their symptoms, the person has found relief in their symptoms
23,symptoms have improved from surgery, the person's symptoms have improved from surgery
24,improved from surgery, the person's condition has improved from surgery
25,symptoms have improved, the person's symptoms have improved
26,good condition, the person is in good condition
27,unsatisfactory pain relief, the person has unsatisfactory pain relief
28,having difficulties with pain, the person is having difficulties with pain control
29,normal exam inspection, the person's inspection is normal during the exam
30,normal skin exam, the person's skin exam is normal
31,normal meniscus exam, the person has a normal meniscus exam
32,normal exam, the person has a normal exam ***
33,examination was normal, the person's examination was normal
34,no abnormal, the person has no abnormal findings on his MRI scan
35,exam was normal, the person's exam was normal
36,normal physical exam, the person has a normal physical exam
37,normal genitourinary exam findings, the person has normal genitourinary exam findings.
38,normal exam findings, the person has normal exam findings ***
39,normal examination, the person's examination is normal
40,inspection normal, the person's inspection is normal
41,exam normal, the person's exam is normal
42,good range of motion, the person has a good range of motion in his condition
43,normal range of motion, the person has a normal range of motion in his joints
44,active range of motion, the person has an active range of motion in his condition
0,normal mood and affect, the person's mood and affect are normal
1,good judgement, the person has good judgement in his condition
2,motion looks excellent, the person's motion looks excellent
3,good recreation, the person enjoys good recreation
4,range of motion: good, the person has a good range of motion
5,normal mood, the person is in a normal mood
6,normal insight, the person has normal insight into his condition
7,normal judgment, the person has normal judgment and is not at risk.
8,unremarkable exam findings, the person's exam findings are unremarkable
9,abnormal exam, the person has an abnormal exam
10,anxious and agitated, the person is anxious and agitated
11,severe rash, the person has a severe rash on his body
12,severe tbi, the person has a severe tbi ***
13,no weight gain, the person has not gained any weight recently
14,have weight loss, the person has weight loss as a symptom
15,no significant weight gain or loss, the person has not gained or lost any significant amount of weight
16,energy is good, the person has good energy levels
17,appetite is good, the person has a good appetite
18,good stability, the person's condition is good stability
19,normal appetite, the person has a normal appetite
20,negative for appetite change, the person's appetite has not changed
21,denies mood changes, the person denies any mood changes
22,gain weight, the person has gained weight ***
23,helped with her anxiety and depression significantly, the person's anxiety and depression have helped significantly
24,normal mental status, the person has a normal mental status
25,anxiety is better, the person's anxiety is better
26,mental status normal, the person's mental status is normal
27,good energy, the person has good energy levels today
28,good appetite, the person has a good appetite for food.
29,change in appetite, the person has a change in appetite
30,appetite change, the person has an appetite change
31,decreased appetite, the person has a decreased appetite ***
32,appetite loss, the person has appetite loss ***
33,mood changes, the person's mood changes are well noted and documented
34,depressed mood, the person has a depressed mood
35,disorder with depressed mood, the person has a disorder with depressed mood
36,bad headache, the person has a bad headache
37,no complications, the person has no complications from the surgery
38,done well postoperatively, the person has done well postoperatively
39,has done well, the person has done well in his condition
40,getting well after surgery, the person is getting well after surgery
41,doing great postop, the person is doing great postop
42,doing well post operative, the person is doing well post operative
43,recovering well from surgery, the person is recovering well from surgery
44,no postoperative complications, the person had no postoperative complications
0,denies any other complications, the person denies any other complications ***
1,complications: none, the person has no complications from his condition
2,still recovering, the person is still recovering from his surgery
3,currently recovering, the person is currently recovering from his surgery
4,is recovering from, the person is recovering from his surgery
5,currently recovering from, the person is currently recovering from an injury
6,postoperative nausea and vomiting, the person has postoperative nausea and vomiting
7,no need for routine medical oncology follow up, the person has no need for routine medical oncology follow up
8,no need for follow up, the person has no need for follow up
9,no need for flup, the person has no need for flup
10,no surgical flup needed, the person doesn't need surgical flup
11,no flup needed, the person doesn't need any more medication ***
12,no follow up needed, the person does not need to follow up with the doctor
13,i think she can return to work, I think she can return to work given her good progress.
14,would like to return, the person would like to return to his/her regular activities
15,would like to return to work, the person would like to return to work but his doctor advised against it.
16,fit for duty with no restrictions, the person is fit for duty with no restrictions
17,fit for duty, the person is fit for duty
18,plans to return, the person plans to return to his normal activities soon
19,can rtw, the person can return to work
20,ready for rtw, the person is ready for rtw
21,patient requests rtw, the patient requests to return to work
22,pt can rtw, the person can return to work
23,requests return to work, the person requests to return to work
24,eager to rtw, the person is eager to rtw
25,would like to be able to return to work as soon as possible, the person would like to be able to return to work as soon as possible.
26,would like to be able to return to work, the person would like to be able to return to work as soon as possible.
27,try to return to work, the person is trying to return to work
28,should be able to return, the person should be able to return to his normal activities soon
29,should return to work, the person should return to work in the next few days
30,released to normal activities, the person has been released to normal activities
31,not fit for duty, the person is not fit for duty because of his condition
32,not released to return to work, the person has not been released to return to work
33,not released to return, the person has not been released to return to his previous activity
34,delayed rtw, the person's return to work is delayed due to his condition
35,limits her ability to return to work, the person's condition limits her ability to return to work
36,limits his ability to return to work, the person's condition limits his ability to return to work
37,limited ability to stand and walk, the person has limited ability to stand and walk.
38,impacts your ability to return to work, the person's ability to return to work has been impacted by the pain.
39,impacts her ability to return to work, the person's condition impacts her ability to return to work
40,impacts his ability to return to work, the person's condition impacts his ability to return to work
41,not let him return, the person's condition has not let him return to his usual activities
42,not let her return, the person's condition has not let her return to her previous state
43,should not return, the person should not return to work for now
44,not return to work, the person has not returned to work yet
